	120	150	180	210	240	270	300	330	360
120	660								
150	660	660							
180	660	700	780						
210	680	760	840	920					
240	730	810	900	990	1070				
270	770	870	960	1060	1130	1220			
300	830	920	1020	1120	1210	1310	1400		
330	870	980	1090	1190	1290	1390	1490	1580	
360	920	1030	1140	1270	1360	1470	1570	1680	1790
390	970	1090	1210	1330	1440	1550	1670	1780	1890
420	1010	1140	1270	1400	1520	1640	1760	1880	2000
450	1070	1200	1330	1460	1600	1730	1850	1980	2110
480	1110	1250	1400	1530	1670	1800	1950	2080	2210
510	1170	1310	1450	1610	1750	1890	2040	2180	2320
540	1210	1360	1520	1670	1830	1970	2120	2280	2430
570	1250	1420	1570	1740	1890	2060	2210	2380	2530
