	120	150	180	210	240	270	300	330	360
120	400								
150	400	400							
180	400	410	430						
210	410	430	460	480					
240	430	460	500	520	550				
270	450	480	520	550	580	620			
300	480	520	550	580	630	660	690		
330	510	550	580	620	660	690	740	770	
360	540	570	620	650	690	740	770	810	850
390	560	610	650	680	730	770	810	860	890
420	580	630	670	720	760	800	850	890	940
450	620	660	700	750	800	850	890	940	980
480	640	690	740	780	840	880	940	980	1020
510	670	720	770	810	870	920	970	1020	1070
540	690	750	800	850	900	960	1010	1070	1110
570	720	770	830	880	940	990	1050	1100	1160
