	120	150	180	210	240	270	300	330	360
120	460								
150	460	460							
180	460	470	510						
210	470	520	550	580					
240	510	550	590	630	670				
270	540	580	630	670	720	760			
300	570	630	670	730	770	810	870		
330	610	660	720	770	830	870	920	980	
360	640	700	760	810	870	920	990	1050	1100
390	670	740	800	860	920	980	1050	1110	1170
420	700	770	840	900	970	1030	1100	1170	1230
450	740	810	880	960	1020	1090	1170	1230	1310
480	770	850	920	1000	1080	1140	1220	1300	1380
510	800	890	970	1050	1120	1200	1290	1360	1440
540	840	920	1010	1090	1180	1250	1340	1430	1510
570	870	960	1050	1130	1220	1310	1400	1490	1570
