	120	150	180	210	240	270	300	330	360
120	590								
150	590	610							
180	590	660	730						
210	650	720	790	860					
240	690	770	850	920	990				
270	750	830	910	990	1070	1140			
300	790	880	970	1070	1140	1220	1310		
330	840	940	1030	1130	1220	1310	1400	1490	
360	890	990	1100	1200	1300	1390	1490	1580	1680
390	940	1050	1160	1270	1380	1470	1570	1680	1780
420	990	1100	1220	1330	1450	1560	1670	1780	1890
450	1030	1160	1280	1410	1520	1640	1760	1880	2000
480	1080	1210	1340	1470	1600	1730	1850	1980	2100
510	1130	1270	1410	1540	1670	1800	1950	2080	2210
540	1180	1320	1460	1610	1750	1890	2040	2180	2320
570	1230	1380	1530	1670	1830	1980	2120	2280	2420
